Date,Gold price / OZ,Silver price / OZ,Platinum price / OZ
1/2/1968,35.18,2.17,
1/30/1968,35.19,2.02,
2/1/1968,35.2,2,
3/1/1968,35.2,2.2,
4/1/1968,38,2.26,
4/30/1968,39.1,2.4,
5/1/1968,39.1,2.36,
5/30/1968,41.75,2.48,
6/4/1968,41.2,2.43,
7/1/1968,40.9,2.51,
7/30/1968,39.1,2.24,
8/1/1968,38.8,2.22,
8/30/1968,39.85,2.24,
9/3/1968,39.98,2.24,
9/30/1968,39.7,2.17,
10/1/1968,39.6,2.14,
10/30/1968,39.3,1.96,
11/1/1968,38.9,1.9,
12/2/1968,39.9,1.94,
12/30/1968,42,1.97,
1/2/1969,41.8,1.96,
1/30/1969,42.55,2,
2/3/1969,42.5,1.99,
3/3/1969,42.75,1.82,
3/31/1969,43.1,1.82,
4/1/1969,43.1,1.81,
4/30/1969,43.6,1.78,
5/1/1969,43.6,1.78,
5/30/1969,43.15,1.77,
6/2/1969,42.95,1.77,
6/30/1969,41.23,1.56,
7/1/1969,41.1,1.6,
7/30/1969,41.49,1.62,
8/1/1969,41.39,1.61,
9/2/1969,40.79,1.69,
9/30/1969,40.65,1.88,
10/1/1969,40.75,1.86,
10/30/1969,39.98,1.93,
11/3/1969,39.58,2,
12/1/1969,35.52,1.91,
12/30/1969,35.23,1.8,
1/2/1970,35.12,1.8,
1/16/1970,34.75,,
1/30/1970,34.98,1.91,
2/2/1970,34.95,1.89,
3/2/1970,35,1.89,
3/31/1970,35.3,1.88,
4/1/1970,35.33,1.88,
4/30/1970,35.85,1.72,
5/1/1970,35.85,1.73,
6/1/1970,35.45,1.65,
6/30/1970,35.51,1.61,
7/1/1970,35.5,1.62,
7/30/1970,35.3,1.77,
8/3/1970,35.3,1.78,
9/1/1970,35.85,1.85,
9/30/1970,36.24,1.7,
10/1/1970,36.42,1.72,
10/30/1970,37.4,1.78,
11/2/1970,37.7,1.8,
11/30/1970,37.6,1.65,
12/1/1970,37.35,1.61,
12/30/1970,37.38,1.64,
1/4/1971,37.33,1.65,
2/1/1971,38.1,1.59,
3/1/1971,38.75,1.6,
3/30/1971,38.75,1.69,
4/1/1971,38.95,1.71,
4/30/1971,39.6,1.69,
5/3/1971,39.42,1.68,
6/1/1971,40.85,1.61,
6/30/1971,40.2,1.58,
7/1/1971,40.1,1.6,
7/30/1971,42.48,1.59,
8/2/1971,42.48,1.58,
8/31/1971,41,1.5,
9/1/1971,40.7,1.48,
9/30/1971,42.48,1.38,
10/1/1971,42.17,1.38,
11/1/1971,42.12,1.29,
11/2/1971,,1.27,
11/30/1971,43.55,1.33,
12/1/1971,43.5,1.32,
12/30/1971,43.5,1.38,
1/3/1972,43.73,1.37,
1/31/1972,46.95,1.5,
2/1/1972,47.49,1.53,
3/1/1972,47.8,1.48,
3/30/1972,48.38,1.56,
4/4/1972,48.4,1.6,
5/1/1972,50.2,1.6,
5/30/1972,58.7,1.57,
6/1/1972,58.8,1.54,
6/30/1972,64.1,1.56,
7/3/1972,64.25,1.56,
7/31/1972,68.9,1.83,
8/1/1972,68.8,1.79,
8/30/1972,66.8,1.9,
9/1/1972,66.8,1.9,
10/2/1972,64.1,1.74,
10/30/1972,64.5,1.82,
11/1/1972,63.8,1.83,
11/30/1972,63.6,1.85,
12/1/1972,63.9,1.87,
1/2/1973,64.99,2.04,
1/30/1973,66.2,1.98,
2/1/1973,66.4,2.03,
3/1/1973,86,2.49,
3/30/1973,90.25,2.2,
4/2/1973,89.25,2.17,
4/30/1973,90.7,2.15,
5/1/1973,90.7,2.15,
5/30/1973,111.5,2.54,
6/1/1973,117,2.61,
7/2/1973,123,2.7,
7/30/1973,114,2.77,
8/1/1973,117,2.92,
8/30/1973,105.75,2.63,
9/3/1973,105.5,2.61,
10/1/1973,98.5,2.71,
10/30/1973,97,2.83,
11/1/1973,97.25,2.84,
11/30/1973,100.25,2.92,
12/3/1973,100,2.92,
12/31/1973,112.25,3.26,
1/2/1974,114.75,3.28,
1/30/1974,135.7,3.91,
2/1/1974,132,4.04,
3/1/1974,172.4,5.73,
4/1/1974,173,5.32,
4/30/1974,168.5,5.62,
5/1/1974,169.9,5.4,
5/30/1974,161,5.08,
6/3/1974,156.5,4.74,
7/1/1974,144.5,4.69,
7/30/1974,160.5,5.03,
8/1/1974,157.5,4.95,
8/30/1974,155.25,4.12,
9/2/1974,158,4.23,
9/30/1974,147.5,4.24,
10/1/1974,153.5,4.43,
10/30/1974,167.9,5.07,
11/1/1974,168.75,4.89,
12/2/1974,185.5,4.61,
12/30/1974,197.5,4.75,
1/2/1975,185,4.44,
1/30/1975,178,4.32,
2/3/1975,177.25,4.13,
3/3/1975,181.6,4.5,
4/1/1975,177.25,4.28,
4/30/1975,167.4,4.43,
5/1/1975,166.25,4.3,
5/30/1975,167.75,4.53,
6/2/1975,163.25,4.43,
6/30/1975,166,4.57,
7/1/1975,167,4.58,
7/30/1975,166.2,5.14,
8/1/1975,166.5,5,
9/1/1975,154.25,4.53,
9/30/1975,138.25,4.44,
10/1/1975,143.75,4.5,
10/30/1975,144,4.24,
11/3/1975,143,4.2,
12/1/1975,138.15,4.12,
12/30/1975,141,4.17,
1/2/1976,140.35,4.16,
1/30/1976,128,4.01,
2/2/1976,128.4,3.99,
3/1/1976,132.45,4.19,
3/30/1976,128.6,4.03,
4/1/1976,129.15,4.12,
4/30/1976,128.15,4.43,
5/3/1976,128.25,4.41,
6/1/1976,126.05,4.68,
6/30/1976,123.8,4.83,
7/1/1976,123.25,4.82,
7/30/1976,112.4,4.54,
8/2/1976,111.5,4.47,
8/31/1976,103.05,4.11,
9/1/1976,104,4.09,
9/30/1976,116.1,4.39,
10/1/1976,116.25,4.36,
11/1/1976,122,4.3,
11/30/1976,130.1,4.28,
12/1/1976,130.5,4.24,
12/30/1976,134.65,4.37,
1/4/1977,136.1,4.43,
1/31/1977,132.1,4.45,
2/1/1977,132.85,4.47,
3/1/1977,142.1,4.72,
3/30/1977,148.9,4.83,
4/1/1977,148.25,4.84,
5/2/1977,147.5,4.77,
5/30/1977,144,4.57,
6/1/1977,143.75,4.58,
6/30/1977,142.95,4.51,
7/1/1977,143.05,4.52,
8/1/1977,144.8,4.51,
8/30/1977,145.65,4.42,
9/1/1977,145.6,4.47,
9/30/1977,153.9,4.64,
10/3/1977,155.1,4.66,
10/31/1977,160.8,4.85,
11/1/1977,162.55,4.88,
11/30/1977,159.8,4.74,
12/1/1977,160.1,4.78,
12/30/1977,165.6,4.76,
1/3/1978,168.6,4.87,
1/30/1978,175.9,4.96,
2/1/1978,176.6,5,
3/1/1978,183.8,5.01,
3/30/1978,179.4,5.29,
4/3/1978,182.75,5.42,
5/2/1978,169.15,4.98,
5/30/1978,181.7,5.36,
6/1/1978,183.25,5.4,
6/30/1978,183.2,5.28,
7/3/1978,183,5.27,
7/31/1978,198.9,5.57,
8/1/1978,207.5,5.72,
8/30/1978,206.6,5.53,
9/1/1978,208.1,5.52,
10/2/1978,217,5.67,
10/30/1978,241.3,6.25,
11/1/1978,238.65,6.13,
11/30/1978,193.7,5.91,
12/1/1978,194.05,5.95,
1/2/1979,227.15,6.08,
1/30/1979,233.65,6.6,
2/1/1979,232.4,6.64,
3/1/1979,249.3,7.62,
3/30/1979,239.65,7.45,
4/2/1979,240.05,7.46,
4/30/1979,243.45,7.65,
5/1/1979,247.7,8.02,
5/30/1979,272.6,8.67,
6/1/1979,276.7,8.63,
7/2/1979,282.2,8.7,
7/30/1979,304.65,9.33,
8/1/1979,290.95,9.1,
8/30/1979,318.65,10.39,
9/3/1979,319.3,10.9,
10/1/1979,399.5,17.09,
10/30/1979,376,16.01,
11/1/1979,379.7,16.32,
11/30/1979,417.2,19,
12/3/1979,428,19.88,
12/31/1979,524,32.2,
1/2/1980,559,39.95,
1/18/1980,,49.45,
1/30/1980,703.5,37.35,
2/1/1980,675,35.31,
3/3/1980,637,34.75,
3/31/1980,503.25,13.49,
4/1/1980,501.5,16.99,
4/30/1980,519.25,13.83,
5/1/1980,507.75,12,
5/30/1980,531.4,13.7,
6/2/1980,563,14.65,
6/30/1980,662.5,16.75,
7/1/1980,656,17.1,
7/30/1980,636.5,16.28,
8/1/1980,622,15.61,
9/1/1980,626.25,15.99,
9/30/1980,670,20.5,
10/1/1980,679.25,21.75,
10/30/1980,643.5,19.45,
11/3/1980,634.3,18.83,
12/1/1980,635.5,18.9,
12/30/1980,587,15.59,
1/5/1981,592,15.8,
1/30/1981,507.5,13.15,
2/2/1981,493.25,12.86,
3/2/1981,474.5,11.6,
3/30/1981,529.5,12.53,
4/1/1981,516.75,12.03,
4/30/1981,481,11.06,
5/1/1981,484.75,11.13,
6/1/1981,481.25,10.67,
6/30/1981,421.5,8.3,
7/1/1981,421.25,8.45,
7/30/1981,402.25,8.41,
8/3/1981,392.5,8.24,
9/1/1981,422.5,9.15,
9/30/1981,426.5,8.95,
10/1/1981,435.25,9.32,
10/30/1981,429,9.12,
11/2/1981,431,9.17,
11/30/1981,415.5,8.27,
12/1/1981,405,8.07,
12/30/1981,397.25,8.05,
1/4/1982,399,8.06,
2/1/1982,381.25,8.12,
3/1/1982,358.75,7.74,
3/30/1982,325.75,7.08,
4/1/1982,325.5,7.11,
4/30/1982,356.75,7.06,
5/4/1982,343.5,6.9,
6/1/1982,319,6.1,
6/30/1982,314,5.73,
7/1/1982,311.75,5.71,
7/30/1982,342.5,6.64,
8/2/1982,352.12,6.89,
